temp,hum,soil,lux,fan,light,pump
23.51,78.28,61.03,0.0,0,1,0
28.66,73.32,62.88,708.98,0,0,0
37.53,52.95,32.94,3735.23,1,0,1
24.84,85.23,48.25,0.0,0,1,1
27.53,65.4,45.54,0.0,0,1,1
35.37,58.21,30.12,2572.94,1,0,1
30.25,59.73,41.95,1116.32,1,0,1
20.64,86.57,83.69,15.41,0,1,0
23.01,71.64,59.98,131.16,0,1,0
20.22,97.27,82.56,0.0,0,1,0
28.14,66.35,48.27,0.0,0,1,1
33.68,51.54,38.09,1200.08,1,0,1
25.1,80.74,67.88,0.38,0,1,0
35.79,66.15,37.15,2332.14,1,0,1
22.62,79.01,56.78,657.63,0,0,0
31.25,73.74,64.93,642.43,1,0,0
26.29,62.57,45.42,0.0,0,1,1
26.1,85.56,55.07,0.0,0,1,0
21.89,97.81,92.21,0.0,0,1,0
23.21,85.83,62.26,17.42,0,1,0
27.91,64.51,36.32,0.0,0,1,1
23.92,78.15,64.51,0.0,0,1,0
24.15,78.85,60.39,173.64,0,1,0
22.85,72.69,56.19,47.23,0,1,0
28.77,67.48,48.21,131.51,0,1,1
26.69,65.58,52.03,1227.69,0,0,0
22.27,75.06,60.02,0.0,0,1,0
29.25,61.02,50.67,0.0,0,1,0
27.97,66.14,48.27,196.67,0,1,1
31.96,76.94,65.07,574.44,1,0,0
22.35,83.6,48.48,91.88,0,1,1
29.37,67.2,46.98,0.0,0,1,1
19.73,87.72,83.23,139.69,0,1,0
19.63,98.29,83.79,3.93,0,1,0
28.28,77.83,54.84,496.22,0,0,0
23.82,77.16,54.92,0.0,0,1,0
39.59,48.34,26.56,3457.02,1,0,1
30.3,76.03,71.94,549.74,1,0,0
24.52,76.88,69.45,0.0,0,1,0
23.3,85.27,56.5,0.0,0,1,0
20.01,90.45,86.95,0.0,0,1,0
26.4,58.5,42.68,0.0,0,1,1
22.84,73.28,54.94,225.33,0,0,0
28.66,66.21,43.22,20.14,0,1,1
26.93,71.59,37.23,0.0,0,1,1
19.25,88.82,89.81,68.88,0,1,0
27.93,67.01,51.36,100.18,0,1,0
28.95,66.64,49.73,0.0,0,1,1
21.62,81.96,60.57,0.12,0,1,0
24.9,80.46,65.07,0.0,0,1,0
30.97,68.4,45.91,0.0,1,1,1
24.97,84.55,50.49,52.37,0,1,0
27.42,73.15,46.5,162.81,0,1,1
39.24,50.04,35.88,4826.43,1,0,1
23.28,71.3,58.41,0.0,0,1,0
28.62,73.35,43.29,7.44,0,1,1
24.77,78.44,69.15,0.0,0,1,0
23.41,71.42,51.82,123.25,0,1,0
29.17,70.28,51.45,1358.09,0,0,0
23.37,84.33,56.95,73.65,0,1,0
29.63,69.65,40.29,201.94,0,0,1
21.7,83.47,83.81,112.52,0,1,0
33.84,67.4,26.33,1677.06,1,0,1
27.41,65.98,51.41,1238.95,0,0,0
26.01,71.35,56.88,808.08,0,0,0
24.77,61.24,51.39,125.9,0,1,0
27.45,59.48,41.45,98.81,0,1,1
29.98,64.28,31.06,174.55,0,1,1
36.53,48.77,19.64,4685.77,1,0,1
31.9,59.52,43.68,1448.22,1,0,1
22.7,76.99,57.31,281.33,0,0,0
28.85,70.75,37.03,0.0,0,1,1
24.46,78.05,59.05,0.0,0,1,0
28.59,67.92,49.74,201.25,0,0,1
33.44,54.75,31.23,2738.16,1,0,1
30.32,67.52,43.16,0.0,1,1,1
35.64,58.57,41.12,1983.51,1,0,1
41.81,43.57,25.08,4686.74,1,0,1
22.02,100.0,83.42,214.84,0,0,0
32.04,53.03,52.6,3432.18,1,0,0
37.32,54.98,22.74,4143.37,1,0,1
36.16,46.0,23.61,4548.45,1,0,1
38.45,49.54,26.12,4711.43,1,0,1
32.37,78.06,72.69,538.6,1,0,0
22.6,78.07,60.41,0.0,0,1,0
24.55,77.18,58.6,0.0,0,1,0
22.55,83.48,83.58,0.0,0,1,0
23.97,75.47,51.74,113.78,0,1,0
32.17,55.69,37.44,1365.3,1,0,1
21.81,73.07,69.08,131.59,0,1,0
33.59,46.84,24.22,3890.9,1,0,1
20.02,89.47,81.19,147.17,0,1,0
30.11,63.82,47.24,0.0,1,1,1
27.74,68.17,50.63,1479.83,0,0,0
37.72,51.98,28.99,4042.73,1,0,1
29.5,70.51,39.67,175.41,0,1,1
22.15,70.95,81.77,308.71,0,0,0
38.64,46.01,25.12,4291.04,1,0,1
23.68,73.23,61.51,51.35,0,1,0
19.67,91.49,91.51,0.0,0,1,0
29.8,60.18,38.75,437.57,0,0,1
34.07,59.28,43.27,3972.03,1,0,1
32.61,59.6,33.39,3354.43,1,0,1
35.59,59.75,39.14,3418.22,1,0,1
25.83,82.38,70.88,539.47,0,0,0
29.08,72.71,48.53,1580.2,0,0,1
34.32,73.07,44.08,1830.47,1,0,1
21.22,82.19,62.5,0.0,0,1,0
21.66,94.78,83.37,0.0,0,1,0
27.54,64.73,44.75,176.64,0,1,1
32.77,63.08,44.0,2271.68,1,0,1
33.63,54.25,32.49,2640.37,1,0,1
28.36,67.97,44.51,0.0,0,1,1
41.22,45.54,25.13,5000.0,1,0,1
25.6,64.53,47.28,74.2,0,1,1
39.89,48.46,34.2,4820.16,1,0,1
29.32,60.27,49.13,54.06,0,1,1
23.62,78.69,59.07,92.92,0,1,0
28.88,83.34,77.43,712.74,0,0,0
20.61,93.55,85.94,0.0,0,1,0
24.17,77.68,61.11,89.59,0,1,0
20.2,75.61,51.02,0.0,0,1,0
33.05,60.47,40.79,2461.61,1,0,1
37.16,47.47,31.14,3136.41,1,0,1
27.05,61.81,50.52,12.52,0,1,0
37.16,48.08,29.2,4824.9,1,0,1
28.92,80.21,76.32,642.86,0,0,0
22.06,77.95,56.23,0.0,0,1,0
29.86,55.94,50.86,0.0,0,1,0
19.87,88.13,82.93,0.0,0,1,0
21.21,92.59,80.76,204.87,0,0,0
30.7,68.73,48.82,2002.78,1,0,1
35.85,61.74,37.43,3737.17,1,0,1
39.31,60.86,31.02,2506.62,1,0,1
23.23,73.68,62.41,0.0,0,1,0
35.19,50.56,37.72,3262.09,1,0,1
31.67,73.78,69.59,667.51,1,0,0
22.51,82.32,54.05,102.5,0,1,0
20.65,92.79,94.56,0.0,0,1,0
25.41,79.83,50.02,0.0,0,1,0
19.48,95.75,82.79,106.38,0,1,0
39.34,53.53,16.15,4781.05,1,0,1
25.24,77.63,60.27,500.48,0,0,0
26.55,64.66,47.77,0.0,0,1,1
26.31,83.18,76.75,346.55,0,0,0
34.33,67.48,38.24,2460.61,1,0,1
35.25,66.0,42.1,2183.86,1,0,1
36.67,47.24,40.78,3859.51,1,0,1
31.15,58.76,39.45,2964.93,1,0,1
21.09,80.1,60.5,0.0,0,1,0
29.79,63.65,45.08,44.11,0,1,1
36.39,47.54,25.94,4648.72,1,0,1
23.68,81.49,57.97,201.09,0,0,0
23.56,75.91,54.71,314.26,0,0,0
23.82,78.52,53.97,51.13,0,1,0
22.26,83.6,56.0,0.0,0,1,0
35.9,62.47,36.25,3779.62,1,0,1
35.44,63.29,32.58,2237.64,1,0,1
26.16,68.01,44.77,0.0,0,1,1
21.75,83.75,78.37,351.54,0,0,0
27.74,60.43,47.29,0.0,0,1,1
26.02,66.69,51.22,0.0,0,1,0
38.83,51.63,21.65,4493.03,1,0,1
23.19,82.65,54.01,0.0,0,1,0
23.74,88.31,55.91,42.14,0,1,0
31.69,59.66,35.6,2033.86,1,0,1
36.32,46.59,37.1,3291.63,1,0,1
29.98,60.44,54.76,2028.52,0,0,0
29.31,60.72,51.95,1967.75,0,0,0
29.19,62.93,46.04,0.0,0,1,1
28.81,68.18,55.52,703.94,0,0,0
28.4,64.32,45.27,2260.88,0,0,1
31.1,72.09,66.85,769.58,1,0,0
28.58,80.29,64.64,557.91,0,0,0
23.44,75.17,58.68,0.0,0,1,0
29.61,74.12,41.24,0.0,0,1,1
26.03,65.19,38.56,1092.61,0,0,1
27.37,62.36,40.48,0.0,0,1,1
37.9,59.04,29.82,3634.97,1,0,1
37.39,46.85,33.84,3857.61,1,0,1
18.92,86.08,86.08,0.0,0,1,0
21.91,76.51,47.3,13.43,0,1,1
22.36,83.01,61.76,0.0,0,1,0
26.71,59.96,49.34,0.0,0,1,1
23.2,82.4,47.4,0.0,0,1,1
32.2,71.08,47.77,1608.97,1,0,1
23.89,77.5,59.66,61.22,0,1,0
31.37,60.08,41.15,1397.4,1,0,1
29.44,65.93,44.33,164.78,0,1,1
21.97,71.68,66.98,52.44,0,1,0
33.83,67.83,39.61,2113.49,1,0,1
22.42,83.25,54.09,0.0,0,1,0
20.77,83.39,66.73,0.0,0,1,0
25.29,79.71,65.26,94.5,0,1,0
22.66,70.23,51.69,0.0,0,1,0
36.37,62.89,38.52,2579.22,1,0,1
27.61,67.72,48.69,1549.85,0,0,1
21.61,75.55,57.56,74.82,0,1,0
39.72,38.91,28.24,5000.0,1,0,1
22.01,69.73,54.43,0.0,0,1,0
35.9,66.15,36.21,1909.88,1,0,1
26.53,82.39,55.85,0.0,0,1,0
22.47,70.79,59.28,0.0,0,1,0
36.06,50.45,31.05,3633.65,1,0,1
28.4,71.95,51.3,789.02,0,0,0
28.16,64.37,52.53,809.81,0,0,0
36.06,53.09,31.38,3711.27,1,0,1
32.19,78.25,69.97,434.95,1,0,0
34.13,59.08,48.36,3658.16,1,0,1
35.37,50.66,28.04,2896.58,1,0,1
23.29,87.82,76.21,209.23,0,0,0
28.18,68.46,48.81,0.0,0,1,1
20.67,74.61,56.64,0.0,0,1,0
20.79,91.17,86.09,34.76,0,1,0
30.59,77.2,75.08,696.51,1,0,0
24.5,91.77,82.06,334.09,0,0,0
23.77,84.3,53.53,182.21,0,1,0
29.77,67.33,46.15,1602.65,0,0,1
35.97,53.08,22.8,3417.99,1,0,1
22.8,75.08,61.76,0.0,0,1,0
33.49,66.16,33.04,2115.66,1,0,1
22.3,86.11,81.25,0.0,0,1,0
27.47,70.52,42.31,0.0,0,1,1
24.27,81.71,62.87,0.0,0,1,0
38.98,53.66,24.94,5000.0,1,0,1
28.09,63.48,45.61,0.0,0,1,1
20.02,96.87,87.87,0.0,0,1,0
32.66,58.19,44.26,3676.64,1,0,1
39.25,45.12,18.69,5000.0,1,0,1
33.29,58.87,35.33,2260.24,1,0,1
34.62,66.44,42.32,2196.83,1,0,1
19.2,83.25,87.59,61.43,0,1,0
24.8,85.73,57.09,0.0,0,1,0
23.68,87.4,86.09,95.75,0,1,0
40.01,50.82,30.93,4699.87,1,0,1
29.61,59.58,52.97,13.5,0,1,0
33.9,60.45,41.65,2395.81,1,0,1
28.71,63.08,45.21,0.0,0,1,1
31.79,76.05,64.08,703.96,1,0,0
28.17,63.66,40.79,0.0,0,1,1
28.55,65.39,56.34,0.0,0,1,0
38.64,46.86,23.17,4848.22,1,0,1
29.58,69.92,40.09,1663.87,0,0,1
21.69,76.31,74.16,0.0,0,1,0
29.38,70.44,75.17,725.73,0,0,0
34.72,51.68,32.66,2245.76,1,0,1
25.76,76.01,56.27,0.0,0,1,0
27.5,66.72,49.9,0.0,0,1,1
32.46,54.07,40.86,3050.71,1,0,1
23.24,86.16,54.07,0.0,0,1,0
26.04,74.04,62.19,25.44,0,1,0
38.68,52.96,34.98,3781.52,1,0,1
31.91,63.26,43.43,1972.15,1,0,1
38.3,49.78,26.88,4297.79,1,0,1
32.65,77.27,61.31,739.71,1,0,0
27.26,61.3,48.58,0.0,0,1,1
21.62,89.73,86.2,22.14,0,1,0
23.38,75.87,56.4,260.36,0,0,0
31.84,59.04,44.09,1767.24,1,0,1
33.4,76.91,65.88,903.4,1,0,0
22.18,85.29,80.22,150.32,0,1,0
32.42,66.33,46.37,1955.95,1,0,1
26.85,67.3,51.98,1366.35,0,0,0
39.11,48.76,29.16,4850.99,1,0,1
32.83,51.16,34.16,3920.06,1,0,1
22.65,73.57,68.58,0.0,0,1,0
31.23,63.39,50.49,0.0,1,1,0
22.15,80.83,59.6,0.0,0,1,0
22.21,79.65,59.2,57.13,0,1,0
21.68,77.12,64.08,0.0,0,1,0
29.01,71.22,42.45,0.0,0,1,1
27.95,68.89,47.23,795.0,0,0,1
40.12,47.99,24.16,4994.68,1,0,1
23.14,93.7,84.09,240.12,0,0,0
26.36,81.69,57.96,0.0,0,1,0
35.27,52.5,43.05,3488.5,1,0,1
27.82,74.03,67.99,568.37,0,0,0
22.17,82.58,57.03,136.35,0,1,0
30.69,52.65,39.04,833.61,1,0,1
30.61,79.03,75.81,632.35,1,0,0
26.65,66.19,44.27,0.0,0,1,1
33.06,58.22,37.6,1646.7,1,0,1
25.9,82.12,52.6,431.63,0,0,0
33.76,54.1,30.5,3576.9,1,0,1
37.64,64.8,41.52,2475.96,1,0,1
27.77,64.1,39.11,108.03,0,1,1
24.98,85.38,50.07,0.0,0,1,0
36.13,61.97,40.35,2367.14,1,0,1
40.93,52.51,32.04,4728.25,1,0,1
16.95,81.44,85.78,0.0,0,1,0
32.48,48.98,31.59,3837.19,1,0,1
38.17,43.03,24.99,5000.0,1,0,1
21.55,89.97,90.54,0.0,0,1,0
21.74,90.89,81.55,142.1,0,1,0
37.56,54.77,36.44,3635.75,1,0,1
33.37,69.01,72.67,637.87,1,0,0
22.92,89.05,86.24,276.14,0,0,0
32.22,67.23,38.14,0.0,1,1,1
19.64,86.66,86.02,121.6,0,1,0
27.76,66.85,36.54,45.33,0,1,1
37.18,70.55,29.07,2469.09,1,0,1
22.64,73.09,54.53,0.0,0,1,0
19.47,89.05,85.32,0.0,0,1,0
39.63,46.89,31.09,4452.06,1,0,1
30.09,65.53,44.7,0.0,1,1,1
31.41,61.45,36.37,1331.79,1,0,1
34.91,58.28,42.05,2325.79,1,0,1
37.91,45.84,24.68,3652.42,1,0,1
24.48,72.83,62.09,0.0,0,1,0
20.54,69.08,64.86,0.0,0,1,0
38.11,48.34,26.59,4714.86,1,0,1
23.39,71.6,52.84,0.0,0,1,0
34.16,66.3,48.22,1694.24,1,0,1
24.19,85.87,60.43,244.82,0,0,0
36.08,60.25,35.02,2476.26,1,0,1
32.34,65.49,30.98,1913.17,1,0,1
26.54,64.22,43.45,0.0,0,1,1
29.5,63.51,44.5,109.58,0,1,1
37.5,53.86,28.02,4083.38,1,0,1
23.22,81.2,62.7,0.0,0,1,0
30.83,74.24,40.18,1510.76,1,0,1
30.39,65.63,45.45,0.0,1,1,1
34.86,59.17,39.15,2091.19,1,0,1
33.81,50.73,29.7,3122.56,1,0,1
28.91,60.34,50.33,2618.76,0,0,0
23.3,70.6,64.96,222.24,0,0,0
26.21,59.67,46.52,0.0,0,1,1
35.8,57.9,32.87,2700.24,1,0,1
19.55,89.38,85.44,0.0,0,1,0
38.07,54.57,27.56,3608.29,1,0,1
28.92,69.76,49.42,75.98,0,1,1
32.84,69.29,66.51,804.59,1,0,0
20.12,94.3,82.38,0.0,0,1,0
28.75,68.51,52.85,0.0,0,1,0
29.16,81.44,50.35,962.25,0,0,0
34.77,54.82,35.37,2169.58,1,0,1
28.44,59.78,34.63,564.72,0,0,1
27.07,85.16,66.21,285.87,0,0,0
39.11,50.59,26.47,4766.47,1,0,1
19.8,88.05,82.93,39.25,0,1,0
22.62,72.12,62.42,0.0,0,1,0
33.92,55.35,43.74,3386.95,1,0,1
22.85,79.29,60.6,0.0,0,1,0
20.43,95.63,80.86,162.28,0,1,0
24.72,78.56,45.95,0.0,0,1,1
20.46,79.08,55.31,0.0,0,1,0
42.28,45.47,26.36,4687.58,1,0,1
30.37,74.95,66.03,310.09,1,0,0
36.62,55.18,40.21,3061.82,1,0,1
19.92,87.81,92.47,66.99,0,1,0
36.83,45.98,30.83,4461.26,1,0,1
28.78,59.44,46.95,0.0,0,1,1
29.38,69.53,47.01,0.0,0,1,1
27.06,71.65,45.83,0.0,0,1,1
32.5,79.11,69.09,553.79,1,0,0
25.86,85.78,46.81,54.57,0,1,1
23.37,75.21,59.29,0.0,0,1,0
30.85,76.76,69.91,645.89,1,0,0
33.7,53.36,49.58,3288.99,1,0,1
